Categoria,_id,categoria,descripcion,id,img,nombre,precio,preciou,stock
,628bd6b122b0b66661188dcd,Leña,"Los pellets son un producto totalmente natural, catalogado como biomasa solida, el cual esta formado por cilindros muy pequeños, de unos pocos milímetros de diámetro. Elaborados a partir de serrín natural seco, sin ningún aditivo, ya que se utiliza la propia lignina que contiene el serrín como aglomerante, comprimiendo el serrín a una alta presión para formar el pellet, lo que hace que los pellets tengan una composición muy densa y dura. Consiguiendo con ello un gran poder calorífico.",12,pellets.jpg,Pellets,0.26,"0'26€/Kg",764
,628bd6b922b0b66661188dce,Leña,"Las briquetas de madera es un producto novedoso que sirve como combustible para chimeneas, hornos, estufas, calderas y todos aquellos dispositivos donde se hace uso de la leña. Se fabrica mediante la compactación de serrines y virutas de madera procedentes de todas las industrias que la utilizan.",13,briquetas.png,Briquetas,0.41,"0'41€/Kg",537
,628bd6c322b0b66661188dcf,Líquido,"Gasolina actualmente comercializada en España, carece de plomo. Además, su índice octano es 95, razón por la cual recibe dicho nombre. Este tipo contiene un máximo de un 5% de etanol.",14,gasolina.png,Gasolina E5 95,1.15,"1'15€/L",998
,628bd6d022b0b66661188dd0,Líquido,"El queroseno es un líquido inflamable, transparente, mezcla de hidrocarburos, que se obtiene de la destilación del petróleo natural. Fue utilizado en un principio en estufas y lámparas, y en la actualidad se usa como combustible de aviones de reacción y en la fabricación de insecticidas.​",15,keroseno.png,Keroseno,1.72,"1'72€/L",397
,628bd6de22b0b66661188dd1,Carbón,"El carbón vegetal es un material combustible sólido, frágil y poroso con un alto contenido en carbono (del orden del 98 %). Se produce por calentamiento de madera y residuos vegetales, hasta temperaturas que oscilan entre 400 y 700 °C, en ausencia de aire. El poder calorífico del carbón vegetal oscila entre 29 000 y 35 000 kJ/kg, muy superior al de la madera, que oscila entre 12 000 y 21 000 kJ/kg.",16,carbon_vegetal.png,Carbón vegetal,1.9,"1'90€/Kg",428
,628bd6e522b0b66661188dd2,Carbón,"El carbón o carbón mineral es una roca sedimentaria organógena de color negro, muy rica en carbono y con cantidades variables de otros elementos, principalmente hidrógeno, azufre, oxígeno y nitrógeno. Principalmente es utilizada como combustible fósil. La mayoría del carbón explotado se formó a partir de los vegetales que crecieron durante los períodos Carbonífero (hace 359 a 299 millones de años) y Cretácico (hace 145 a 66 millones de años), al ser ambos períodos de gran extensión temporal y situarse gran parte de los medios sedimentarios favorables para su acumulación y conservación en latitudes intertropicales. Es un recurso no renovable.",17,carbon.png,Carbón,1.41,"1'41€/Kg",521
,628bd6f722b0b66661188dd3,Nuclear,"El uranio es un elemento químico metálico de color plateado-grisáceo de la serie de los actínidos, su símbolo químico es U y su número atómico es 92. Por ello posee 92 protones y 92 electrones, con una valencia de 6",18,uranio.png,Uranio,49,49€/Kg,1482
,628bd70222b0b66661188dd4,Líquido,"Gasolina actualmente comercializada en España, carece de plomo. Además, su índice octano es 95, razón por la cual recibe dicho nombre. Este tipo contiene un máximo de un 10% de etanol.",19,gasolina.png,Gasolina E10 95,1.24,"1'24€/L",192
,628bd70d22b0b66661188dd5,Líquido,"También es un tipo de gasolina sin plomo y su índice octano es 98. Es decir, tiene más capacidad de aguante para evitar la detonación prematura. Este tipo contiene un máximo de un 5% de etanol.",20,gasolina.png,Gasolina E5 98,1.29,"1'29€/L",478
,628bd71922b0b66661188dd6,Líquido,"También es un tipo de gasolina sin plomo y su índice octano es 98. Es decir, tiene más capacidad de aguante para evitar la detonación prematura. Este tipo contiene un máximo de un 10% de etanol.",21,gasolina.png,Gasolina E10 98,1.24,"1'24€/L",600
Líquido,628bd72822b0b66661188dd7,Líquido,El gasoil A es adecuado para vehículos-automoción. Está más refinado y contiene aditivos para evitar la solidificación de la parafina a bajas temperaturas.,22,diesel.png,Diésel A,1.15,"1'15€/L",326
,628bd73e22b0b66661188dd8,Líquido,El gasoil A es adecuado para vehículos-automoción. Está más refinado y contiene aditivos para evitar la solidificación de la parafina a bajas temperaturas y con un aditivo que mejora el rendimiento.,23,diesel.png,Diésel A+,1.2,"1'20€/L",162
,628bd74c22b0b66661188dd9,Líquido,"Es un carburante que se utiliza para usos agrícolas e industriales. En España tiene un tipo de impuestos distinto respecto al gasóleo habitual. De ahí que se conozca como Gasóleo B o Bonificado. Para comprarlo hay que aportar cierta documentación. Se usa también como combustible en calefacciones, aunque cada vez menos, ya que tiene menor poder calorífico que el Gasóleo C, hoy su uso para calefacción es antirrentable, debido a su menor poder calorífico y su menor densidad. No se puede utilizar en los vehículos no agrícolas, ya que su tipo impositivo es menor que el gasóleo A y su uso está fuertemente multado.",24,diesel.png,Diésel B,0.9,"0'90€/L",806
,628bd75722b0b66661188dda,Líquido,"Es un combustible que se utiliza para la calefacción doméstica, agua caliente y para uso industrial, siendo el gasóleo que más poder calorífico tiene. Hoy en día es un producto tan refinado y limpio como el gasóleo A o el B, siendo el más adecuado de los tres para producir calor. Su uso como carburante está desaconsejado, ya que su formulación no está pensada para los motores, sino para las calderas, además está prohibido dicho uso por la legislación en muchos países.",25,diesel.png,Diésel C,1,"1'00€/L",840
,628bd76122b0b66661188ddb,Líquido," El BIODIESEL es por definición un biocarburante o biocombustible líquido producido a partir de los aceites vegetales y grasas animales, siendo la soja, la colza, y el girasol, las materias primas más utilizadas mundialmente para este fin. Las propiedades del biodiesel son muy similares a las del GAS OIL de origen fósil, en cuanto a densidad, número de cetanos, eficiencia y rendimiento de los motores gasoleros (diesel), destacándose que el biodiesel presenta un punto de inflamación superior. ",26,diesel.png,Biodiésel,1.16,"1'16€/L",409
,628bd76a22b0b66661188ddc,Gas licuado,"El gas licuado del petróleo es la mezcla de gases licuados presentes en el gas natural o disueltos en el petróleo. Lleva consigo procesos físicos y químicos, por ejemplo el uso de metano. Los componentes del GLP, aunque a temperatura y presión ambientales son gases, son fáciles de licuar, de ahí su nombre.",27,diesel.png,GLP,0.5,"0'50€/L",632
,628bfb67a336661ab829f05a,Gas licuado,"El gas natural comprimido, más conocido por la sigla GNC, es un combustible para uso vehicular que, por ser económico y ambientalmente más limpio, ​ es considerado una alternativa sustentable para la sustitución de combustibles líquidos.",28,diesel.png,GNC,1.7,"1'70€/L",716
